# frame +z -z 
1578 330 385 
1579 330 387 
1580 330 387 
1581 331 387 
1582 331 387 
1583 331 387 
1584 331 387 
1585 331 387 
1586 331 387 
1587 331 387 
1588 331 388 
1589 331 388 
1590 331 388 
1591 331 388 
1592 332 388 
1593 332 388 
1594 332 388 
1595 333 388 
1596 334 389 
1597 334 389 
1598 334 389 
1599 334 389 
1600 334 389 
1601 334 390 
1602 334 392 
1603 334 392 
1604 334 392 
1605 335 392 
1606 336 392 
1607 336 392 
1608 336 392 
1609 337 392 
1610 338 392 
1611 338 392 
1612 338 392 
1613 338 392 
1614 338 392 
1615 338 392 
1616 338 392 
1617 338 392 
1618 338 393 
1619 339 394 
1620 340 395 
1621 340 395 
1622 340 395 
1623 340 395 
1624 340 395 
1625 340 396 
1626 340 396 
1627 341 396 
1628 341 396 
1629 342 396 
1630 342 396 
1631 342 396 
1632 342 396 
1633 342 397 
1634 342 397 
1635 342 397 
1636 343 398 
1637 344 398 
1638 346 398 
1639 347 399 
1640 348 399 
1641 348 399 
1642 349 399 
1643 350 399 
1644 352 399 
1645 353 399 
1646 353 399 
1647 353 399 
1648 354 399 
1649 355 399 
1650 356 399 
1651 356 399 
1652 357 399 
1653 357 399 
1654 357 399 
1655 357 399 
1656 357 400 
1657 357 400 
1658 357 400 
1659 357 402 
1660 357 404 
1661 357 404 
1662 357 404 
1663 357 404 
1664 357 404 
1665 357 404 
1666 357 404 
1667 357 404 
1668 357 405 
1669 358 405 
1670 358 405 
1671 358 405 
1672 358 405 
1673 358 405 
1674 358 405 
1675 358 405 
1676 358 405 
1677 358 405 
1678 358 405 
1679 358 405 
1680 358 405 
1681 358 405 
1682 358 405 
1683 358 405 
1684 358 405 
1685 358 405 
1686 358 405 
1687 359 405 
1688 359 405 
1689 359 405 
1690 359 405 
1691 359 405 
1692 359 406 
1693 359 407 
1694 359 408 
1695 359 408 
1696 359 408 
1697 359 408 
1698 359 408 
1699 359 408 
1700 359 408 
1701 359 408 
1702 359 408 
1703 359 408 
1704 359 408 
1705 359 408 
1706 359 408 
1707 359 409 
1708 359 409 
1709 359 410 
1710 359 410 
1711 359 410 
1712 359 410 
1713 359 411 
1714 359 411 
1715 359 411 
1716 359 411 
1717 360 411 
1718 361 411 
1719 362 411 
1720 362 411 
1721 362 412 
1722 362 412 
1723 362 412 
1724 362 412 
1725 362 412 
1726 363 412 
1727 363 412 
1728 363 412 
1729 363 412 
1730 363 412 
1731 363 412 
1732 363 412 
1733 363 412 
1734 363 413 
1735 363 413 
1736 363 413 
1737 363 413 
1738 363 413 
1739 365 413 
1740 365 414 
1741 365 414 
1742 365 414 
1743 365 414 
1744 365 414 
1745 365 414 
1746 366 414 
1747 367 414 
1748 368 414 
1749 369 414 
1750 371 414 
1751 371 414 
1752 371 414 
1753 371 414 
1754 371 414 
1755 372 414 
1756 372 414 
1757 373 415 
1758 373 415 
1759 373 415 
1760 374 415 
1761 374 415 
1762 375 415 
1763 375 415 
1764 375 415 
1765 375 415 
1766 375 415 
1767 375 415 
1768 375 415 
1769 376 416 
1770 376 417 
1771 376 417 
1772 376 417 
1773 376 418 
1774 377 418 
1775 377 418 
1776 377 418 
1777 377 418 
