# step Etot Epot T p 
2105000 -4267.9464 -5217.6251 301.7046 541.0798 
2110000 -4298.0812 -5224.4757 294.3074 -741.0551 
2115000 -4264.2233 -5222.5477 304.4512 336.7762 
2120000 -4318.124 -5227.7384 288.9765 -200.0967 
2125000 -4221.3733 -5169.3454 301.1624 32.2375 
2130000 -4296.5132 -5203.0303 287.9925 -625.8927 
2135000 -4185.3245 -5145.767 305.1241 366.2172 
2140000 -4270.3527 -5223.8281 302.9108 -479.5885 
2145000 -4314.9794 -5212.3828 285.0972 -229.2109 
2150000 -4354.4697 -5298.2485 299.8302 -585.6685 
2155000 -4184.5585 -5170.4118 313.1969 10.8676 
2160000 -4265.1168 -5211.2894 300.5907 -387.6426 
2165000 -4284.8484 -5216.2073 295.8845 -480.8162 
2170000 -4297.7942 -5245.8607 301.1924 -58.3852 
2175000 -4351.2626 -5271.4214 292.3264 -516.198 
2180000 -4323.177 -5252.438 295.2181 -500.3525 
2185000 -4238.6515 -5180.718 299.2863 47.1299 
2190000 -4334.7542 -5257.498 293.1476 -419.3727 
2195000 -4303.9714 -5255.6494 302.3397 -85.0624 
2200000 -4288.5958 -5233.9201 300.3212 -110.977 
2205000 -4250.4521 -5233.0983 312.1781 -540.6553 
2210000 -4284.6547 -5239.9534 303.49 -221.7542 
2215000 -4365.4553 -5254.9304 282.5784 -771.4986 
2220000 -4306.6855 -5233.219 294.3516 -591.9877 
2225000 -4289.0948 -5199.0101 289.0721 -183.657 
2230000 -4357.1469 -5262.7324 287.6966 -1326.622 
2235000 -4208.8133 -5193.4525 312.8112 -578.3685 
2240000 -4314.8948 -5278.7415 306.2056 -426.4588 
2245000 -4243.0441 -5190.0196 300.8458 -444.5767 
2250000 -4302.8732 -5274.4876 308.6734 -1162.0592 
2255000 -4239.9851 -5191.1816 302.1868 -397.3746 
2260000 -4168.9022 -5111.7553 299.5361 223.4373 
2265000 -4312.523 -5206.8131 284.1081 -379.5566 
2270000 -4254.1441 -5222.3983 307.6058 314.3041 
2275000 -4311.4273 -5184.0558 277.2264 -766.142 
2280000 -4196.4512 -5179.8622 312.421 59.888 
2285000 -4175.2125 -5134.5856 304.7844 -460.1551 
2290000 -4248.6566 -5229.7209 311.6755 -194.5474 
2295000 -4261.9191 -5231.1159 307.9053 210.4774 
2300000 -4286.8082 -5232.458 300.4246 -448.0427 
2305000 -4258.9819 -5239.3002 311.4385 -526.1023 
2310000 -4213.9585 -5175.0642 305.3349 -353.8831 
2315000 -4304.4865 -5240.8168 297.4639 -87.0486 
2320000 -4283.8744 -5210.8339 294.4869 -64.8655 
2325000 -4256.0085 -5197.9529 299.2475 -669.5514 
2330000 -4256.3725 -5201.5438 300.2726 -661.3573 
2335000 -4268.2421 -5225.4439 304.0946 -163.4302 
2340000 -4339.0986 -5217.5528 279.0772 349.4036 
2345000 -4261.8188 -5223.0089 305.3617 24.1708 
2350000 -4335.1352 -5270.0147 297.003 -67.5833 
2355000 -4163.5711 -5122.2473 304.563 717.6254 
2360000 -4283.8722 -5235.8599 302.4381 -285.481 
2365000 -4254.3907 -5180.8108 294.3155 -458.6772 
2370000 -4305.2409 -5266.2808 305.3139 56.0145 
2375000 -4311.7834 -5210.8688 285.6315 -274.9643 
2380000 -4331.6375 -5229.0745 285.1079 -587.4644 
2385000 -4316.4666 -5214.4286 285.2747 -226.3316 
2390000 -4201.9319 -5162.4646 305.1528 50.8337 
2395000 -4263.9257 -5204.4847 298.8073 -53.2664 
